state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Andhra Pradesh,Chittor,Chittoor,Mango,Badami,10/05/2022,3500,4000,3750
Andhra Pradesh,Chittor,Chittoor,Mango,Badami,20/05/2022,2500,3000,2750
Andhra Pradesh,Chittor,Chittoor,Mango,Badami,21/05/2022,2500,3000,2750
Andhra Pradesh,Chittor,Chittoor,Mango,Badami,22/05/2022,2500,3000,2750
Andhra Pradesh,Chittor,Chittoor,Mango,Badami,23/05/2022,2500,3000,2750
Andhra Pradesh,Chittor,Chittoor,Mango,Badami,24/05/2022,2500,3000,2750
Andhra Pradesh,Chittor,Chittoor,Mango,Badami,25/05/2022,2000,2500,2250
Andhra Pradesh,Chittor,Chittoor,Mango,Badami,26/05/2022,2000,2500,2250
Andhra Pradesh,Chittor,Chittoor,Mango,Badami,27/05/2022,2000,2500,2250
Andhra Pradesh,Chittor,Chittoor,Mango,Badami,28/05/2022,2000,2500,2250
Andhra Pradesh,Chittor,Chittoor,Mango,Badami,29/05/2022,2000,2500,2250
Andhra Pradesh,Chittor,Chittoor,Mango,Badami,30/05/2022,2000,2500,2250
Andhra Pradesh,Chittor,Chittoor,Mango,Badami,31/05/2022,2500,3000,2750
Andhra Pradesh,Chittor,Chittoor,Mango,Badami,01/06/2022,2500,3000,2750
Andhra Pradesh,Chittor,Chittoor,Mango,Badami,03/06/2022,2500,3000,2750
Andhra Pradesh,Chittor,Chittoor,Mango,Badami,04/06/2022,2500,3000,2750
Andhra Pradesh,Chittor,Chittoor,Mango,Badami,05/06/2022,2500,3000,2750
Andhra Pradesh,Chittor,Chittoor,Mango,Badami,06/06/2022,2500,3000,2750
Andhra Pradesh,Chittor,Chittoor,Mango,Badami,07/06/2022,2500,3500,3000
Andhra Pradesh,Chittor,Chittoor,Mango,Badami,08/06/2022,2500,3500,3000
Andhra Pradesh,Chittor,Chittoor,Mango,Badami,09/06/2022,2500,3500,3000
Andhra Pradesh,Chittor,Chittoor,Mango,Badami,10/06/2022,2500,3500,3000
Andhra Pradesh,Chittor,Chittoor,Mango,Badami,11/06/2022,2500,3500,3000
Andhra Pradesh,Chittor,Chittoor,Mango,Badami,12/06/2022,2500,3500,3000
Andhra Pradesh,Chittor,Chittoor,Mango,Badami,13/06/2022,2500,3500,3000
Andhra Pradesh,Chittor,Chittoor,Mango,Badami,14/06/2022,3000,4000,3500
Andhra Pradesh,Chittor,Chittoor,Mango,Badami,16/06/2022,3000,4000,3500
Andhra Pradesh,Chittor,Chittoor,Mango,Badami,17/06/2022,3000,4000,3500
Andhra Pradesh,Chittor,Chittoor,Mango,Badami,18/06/2022,3000,4000,3500
Andhra Pradesh,Chittor,Chittoor,Mango,Badami,19/06/2022,3000,4000,3500
Andhra Pradesh,Chittor,Chittoor,Mango,Badami,20/06/2022,3000,4000,3500
Andhra Pradesh,Chittor,Chittoor,Mango,Badami,21/06/2022,3000,4000,3500
Andhra Pradesh,Chittor,Chittoor,Mango,Badami,22/06/2022,3000,4000,3500
Andhra Pradesh,Chittor,Chittoor,Mango,Badami,23/06/2022,3000,4000,3500
Andhra Pradesh,Chittor,Chittoor,Mango,Badami,24/06/2022,3000,4000,3500
Andhra Pradesh,Chittor,Chittoor,Mango,Badami,25/06/2022,3000,4000,3500
Andhra Pradesh,Chittor,Chittoor,Mango,Badami,26/06/2022,3000,4000,3500
Andhra Pradesh,Chittor,Chittoor,Mango,Badami,27/06/2022,3000,4500,4000
Andhra Pradesh,Chittor,Chittoor,Mango,Badami,28/06/2022,3500,4500,4000
Andhra Pradesh,Chittor,Chittoor,Mango,Neelam,22/06/2022,1500,2500,2000
Andhra Pradesh,Chittor,Chittoor,Mango,Neelam,23/06/2022,1500,2500,2000
Andhra Pradesh,Chittor,Chittoor,Mango,Neelam,24/06/2022,1500,2500,2000
Andhra Pradesh,Chittor,Chittoor,Mango,Neelam,25/06/2022,1500,2500,2000
Andhra Pradesh,Chittor,Chittoor,Mango,Neelam,26/06/2022,2000,3000,2500
Andhra Pradesh,Chittor,Chittoor,Mango,Neelam,27/06/2022,2000,3000,2500
Andhra Pradesh,Chittor,Chittoor,Mango,Neelam,28/06/2022,2000,3000,2500
Andhra Pradesh,Chittor,Chittoor,Mango,Neelam,29/06/2022,2000,3000,2500
Andhra Pradesh,Chittor,Chittoor,Mango,Neelam,30/06/2022,2000,3000,2500
Andhra Pradesh,Chittor,Chittoor,Mango,Neelam,01/07/2022,2000,3000,2500
Andhra Pradesh,Chittor,Chittoor,Mango,Other,10/05/2022,1500,2500,2000
Andhra Pradesh,Chittor,Chittoor,Mango,Other,20/05/2022,800,1000,900
Andhra Pradesh,Chittor,Chittoor,Mango,Other,21/05/2022,800,1000,900
Andhra Pradesh,Chittor,Chittoor,Mango,Other,22/05/2022,800,1000,900
Andhra Pradesh,Chittor,Chittoor,Mango,Other,23/05/2022,800,1000,900
